sample_name,group,R1,replicate
PAH-1696+1697_46_22_epegRNA_1,PAH-1696+1697_46_22_epegRNA,SRR17171854.fastq.gz,1
PAH-1696+1697_46_22_epegRNA_2,PAH-1696+1697_46_22_epegRNA,SRR17171853.fastq.gz,2
PAH-1696+1697_46_22_epegRNA_3,PAH-1696+1697_46_22_epegRNA,SRR17171852.fastq.gz,3
PAH-1696+1697_46_22_std_1,PAH-1696+1697_46_22_std,SRR17171851.fastq.gz,1
PAH-1696+1697_46_22_std_2,PAH-1696+1697_46_22_std,SRR17171849.fastq.gz,2
PAH-1696+1697_46_22_std_3,PAH-1696+1697_46_22_std,SRR17171848.fastq.gz,3
PAH-1696+1697_46_42_epegRNA_1,PAH-1696+1697_46_42_epegRNA,SRR17171847.fastq.gz,1
PAH-1696+1697_46_42_epegRNA_2,PAH-1696+1697_46_42_epegRNA,SRR17171846.fastq.gz,2
PAH-1696+1697_46_42_epegRNA_3,PAH-1696+1697_46_42_epegRNA,SRR17171845.fastq.gz,3
PAH-1696+1697_46_42_std_1,PAH-1696+1697_46_42_std,SRR17171844.fastq.gz,1
PAH-1696+1697_46_42_std_2,PAH-1696+1697_46_42_std,SRR17171843.fastq.gz,2
PAH-1696+1697_46_42_std_3,PAH-1696+1697_46_42_std,SRR17171842.fastq.gz,3
PAH-1696+1697_64_24_epegRNA_1,PAH-1696+1697_64_24_epegRNA,SRR17171841.fastq.gz,1
PAH-1696+1697_64_24_epegRNA_2,PAH-1696+1697_64_24_epegRNA,SRR17171840.fastq.gz,2
PAH-1696+1697_64_24_epegRNA_3,PAH-1696+1697_64_24_epegRNA,SRR17171838.fastq.gz,3
PAH-1696+1697_64_24_std_1,PAH-1696+1697_64_24_std,SRR17171837.fastq.gz,1
PAH-1696+1697_64_24_std_2,PAH-1696+1697_64_24_std,SRR17171836.fastq.gz,2
PAH-1696+1697_64_24_std_3,PAH-1696+1697_64_24_std,SRR17171835.fastq.gz,3
PAH-1696+1697_64_47_epegRNA_1,PAH-1696+1697_64_47_epegRNA,SRR17171834.fastq.gz,1
PAH-1696+1697_64_47_epegRNA_2,PAH-1696+1697_64_47_epegRNA,SRR17171833.fastq.gz,2
PAH-1696+1697_64_47_epegRNA_3,PAH-1696+1697_64_47_epegRNA,SRR17171832.fastq.gz,3
PAH-1696+1697_64_47_std_1,PAH-1696+1697_64_47_std,SRR17171831.fastq.gz,1
PAH-1696+1697_64_47_std_2,PAH-1696+1697_64_47_std,SRR17171830.fastq.gz,2
PAH-1696+1697_64_47_std_3,PAH-1696+1697_64_47_std,SRR17171829.fastq.gz,3
PAH-E4fe+1687_64_24_epegRNA_1,PAH-E4fe+1687_64_24_epegRNA,SRR17171944.fastq.gz,1
PAH-E4fe+1687_64_24_epegRNA_2,PAH-E4fe+1687_64_24_epegRNA,SRR17171943.fastq.gz,2
PAH-E4fe+1687_64_24_epegRNA_3,PAH-E4fe+1687_64_24_epegRNA,SRR17171941.fastq.gz,3
PAH-E4fe+1687_64_24_std_1,PAH-E4fe+1687_64_24_std,SRR17171940.fastq.gz,1
PAH-E4fe+1687_64_24_std_2,PAH-E4fe+1687_64_24_std,SRR17171939.fastq.gz,2
PAH-E4fe+1687_64_24_std_3,PAH-E4fe+1687_64_24_std,SRR17171938.fastq.gz,3
PAH-E4fe+1687_64_36_epegRNA_1,PAH-E4fe+1687_64_36_epegRNA,SRR17171937.fastq.gz,1
PAH-E4fe+1687_64_36_epegRNA_2,PAH-E4fe+1687_64_36_epegRNA,SRR17171936.fastq.gz,2
PAH-E4fe+1687_64_36_epegRNA_3,PAH-E4fe+1687_64_36_epegRNA,SRR17171935.fastq.gz,3
PAH-E4fe+1687_64_36_std_1,PAH-E4fe+1687_64_36_std,SRR17171934.fastq.gz,1
PAH-E4fe+1687_64_36_std_2,PAH-E4fe+1687_64_36_std,SRR17171933.fastq.gz,2
PAH-E4fe+1687_64_36_std_3,PAH-E4fe+1687_64_36_std,SRR17171932.fastq.gz,3
PAH-E4fe+1687_64_59_epegRNA_1,PAH-E4fe+1687_64_59_epegRNA,SRR17171930.fastq.gz,1
PAH-E4fe+1687_64_59_epegRNA_2,PAH-E4fe+1687_64_59_epegRNA,SRR17171859.fastq.gz,2
PAH-E4fe+1687_64_59_epegRNA_3,PAH-E4fe+1687_64_59_epegRNA,SRR17171858.fastq.gz,3
PAH-E4fe+1687_64_59_std_1,PAH-E4fe+1687_64_59_std,SRR17171857.fastq.gz,1
PAH-E4fe+1687_64_59_std_2,PAH-E4fe+1687_64_59_std,SRR17171856.fastq.gz,2
PAH-E4fe+1687_64_59_std_3,PAH-E4fe+1687_64_59_std,SRR17171855.fastq.gz,3
