sample_name,group,color,R1,replicate
AAVS1-1653+1715_A1615a_B1705b_2,AAVS1-1653+1715_A1615a_B1705b,15,SRR17172214.fastq.gz,2
AAVS1-1653+1715_A1615a_B1705b_3,AAVS1-1653+1715_A1615a_B1705b,15,SRR17172213.fastq.gz,3
AAVS1-1653+1715_A1615b_B1640a_1,AAVS1-1653+1715_A1615b_B1640a,16,SRR17172208.fastq.gz,1
AAVS1-1653+1715_A1615b_B1640a_2,AAVS1-1653+1715_A1615b_B1640a,16,SRR17172207.fastq.gz,2
AAVS1-1653+1715_A1615b_B1640a_3,AAVS1-1653+1715_A1615b_B1640a,16,SRR17172206.fastq.gz,3
AAVS1-1653+1715_A1647b_B1676b_1,AAVS1-1653+1715_A1647b_B1676b,17,SRR17172205.fastq.gz,1
AAVS1-1653+1715_A1647b_B1676b_2,AAVS1-1653+1715_A1647b_B1676b,17,SRR17172204.fastq.gz,2
AAVS1-1653+1715_A1647b_B1676b_3,AAVS1-1653+1715_A1647b_B1676b,17,SRR17172203.fastq.gz,3
AAVS1-1653+1715_A1647b_B1701a_1,AAVS1-1653+1715_A1647b_B1701a,18,SRR17172202.fastq.gz,1
AAVS1-1653+1715_A1647b_B1701a_2,AAVS1-1653+1715_A1647b_B1701a,18,SRR17172167.fastq.gz,2
AAVS1-1653+1715_A1647b_B1701a_3,AAVS1-1653+1715_A1647b_B1701a,18,SRR17172166.fastq.gz,3
AAVS1-1653+1715_A1647b_B1705a_1,AAVS1-1653+1715_A1647b_B1705a,19,SRR17172165.fastq.gz,1
AAVS1-1653+1715_A1647b_B1705a_2,AAVS1-1653+1715_A1647b_B1705a,19,SRR17172163.fastq.gz,2
AAVS1-1653+1715_A1647b_B1705a_3,AAVS1-1653+1715_A1647b_B1705a,19,SRR17172162.fastq.gz,3
AAVS1-1655+1656_A1810b_B1883b_1,AAVS1-1655+1656_A1810b_B1883b,20,SRR17172161.fastq.gz,1
AAVS1-1655+1656_A1810b_B1883b_2,AAVS1-1655+1656_A1810b_B1883b,20,SRR17172160.fastq.gz,2
AAVS1-1655+1656_A1810b_B1883b_3,AAVS1-1655+1656_A1810b_B1883b,20,SRR17172159.fastq.gz,3
AAVS1-1655+1656_A1810b_B1902a_1,AAVS1-1655+1656_A1810b_B1902a,21,SRR17172158.fastq.gz,1
AAVS1-1655+1656_A1810b_B1902a_2,AAVS1-1655+1656_A1810b_B1902a,21,SRR17172157.fastq.gz,2
AAVS1-1655+1656_A1810b_B1902a_3,AAVS1-1655+1656_A1810b_B1902a,21,SRR17172156.fastq.gz,3
AAVS1-1655+1656_A1890b_B1902a_1,AAVS1-1655+1656_A1890b_B1902a,22,SRR17172155.fastq.gz,1
AAVS1-1655+1656_A1890b_B1902a_2,AAVS1-1655+1656_A1890b_B1902a,22,SRR17172154.fastq.gz,2
AAVS1-1655+1656_A1890b_B1902a_3,AAVS1-1655+1656_A1890b_B1902a,22,SRR17172152.fastq.gz,3
AAVS1-1655+1656_A1890c_B1962c_1,AAVS1-1655+1656_A1890c_B1962c,23,SRR17172151.fastq.gz,1
AAVS1-1655+1656_A1890c_B1962c_2,AAVS1-1655+1656_A1890c_B1962c,23,SRR17172150.fastq.gz,2
AAVS1-1655+1656_A1890c_B1962c_3,AAVS1-1655+1656_A1890c_B1962c,23,SRR17172149.fastq.gz,3
AAVS1-1707+1710_A3786a_B3903b_1,AAVS1-1707+1710_A3786a_B3903b,24,SRR17172148.fastq.gz,1
AAVS1-1707+1710_A3786a_B3903b_2,AAVS1-1707+1710_A3786a_B3903b,24,SRR17172147.fastq.gz,2
