group,supplemental_indices,experiment_type,target_info,pegRNAs
HEK3_attB_A30_B30,,twin_prime,HEK3,HEK3_attB_A_30;HEK3_attB_B_30
HEK3_attB_A30_B34,,twin_prime,HEK3,HEK3_attB_A_30;HEK3_attB_B_34
HEK3_attB_A30_B38,,twin_prime,HEK3,HEK3_attB_A_30;HEK3_attB_B_38
HEK3_attB_A34_B30,,twin_prime,HEK3,HEK3_attB_A_34;HEK3_attB_B_30
HEK3_attB_A34_B34,,twin_prime,HEK3,HEK3_attB_A_34;HEK3_attB_B_34
HEK3_attB_A34_B38,,twin_prime,HEK3,HEK3_attB_A_34;HEK3_attB_B_38
HEK3_attB_A38_B30,,twin_prime,HEK3,HEK3_attB_A_38;HEK3_attB_B_30
HEK3_attB_A38_B34,,twin_prime,HEK3,HEK3_attB_A_38;HEK3_attB_B_34
HEK3_attB_A38_B38,,twin_prime,HEK3,HEK3_attB_A_38;HEK3_attB_B_38
HEK3_attP_A35_B36,,twin_prime,HEK3,HEK3_attP_A_35;HEK3_attP_B_36
HEK3_attP_A35_B40,,twin_prime,HEK3,HEK3_attP_A_35;HEK3_attP_B_40
HEK3_attP_A35_B44,,twin_prime,HEK3,HEK3_attP_A_35;HEK3_attP_B_44
HEK3_attP_A39_B36,,twin_prime,HEK3,HEK3_attP_A_39;HEK3_attP_B_36
HEK3_attP_A39_B40,,twin_prime,HEK3,HEK3_attP_A_39;HEK3_attP_B_40
HEK3_attP_A39_B44,,twin_prime,HEK3,HEK3_attP_A_39;HEK3_attP_B_44
HEK3_attP_A43_B36,,twin_prime,HEK3,HEK3_attP_A_43;HEK3_attP_B_36
HEK3_attP_A43_B40,,twin_prime,HEK3,HEK3_attP_A_43;HEK3_attP_B_40
HEK3_attP_A43_B44,,twin_prime,HEK3,HEK3_attP_A_43;HEK3_attP_B_44
