sample_name,group,R1,replicate
AAVS1-1653+1715_A1582a_B1640c,AAVS1-1653+1715_A1582a_B1640c,SRR17170180.fastq.gz,1
AAVS1-1653+1715_A1582a_B1676a,AAVS1-1653+1715_A1582a_B1676a,SRR17170179.fastq.gz,1
AAVS1-1653+1715_A1582a_B1676b,AAVS1-1653+1715_A1582a_B1676b,SRR17170178.fastq.gz,1
AAVS1-1653+1715_A1582a_B1676c,AAVS1-1653+1715_A1582a_B1676c,SRR17170177.fastq.gz,1
AAVS1-1653+1715_A1582a_B1701a,AAVS1-1653+1715_A1582a_B1701a,SRR17170176.fastq.gz,1
AAVS1-1653+1715_A1582a_B1701b,AAVS1-1653+1715_A1582a_B1701b,SRR17170445.fastq.gz,1
AAVS1-1653+1715_A1582a_B1701c,AAVS1-1653+1715_A1582a_B1701c,SRR17170444.fastq.gz,1
AAVS1-1653+1715_A1582a_B1705a,AAVS1-1653+1715_A1582a_B1705a,SRR17170443.fastq.gz,1
AAVS1-1653+1715_A1582a_B1705b,AAVS1-1653+1715_A1582a_B1705b,SRR17170442.fastq.gz,1
AAVS1-1653+1715_A1582a_B1705c,AAVS1-1653+1715_A1582a_B1705c,SRR17170441.fastq.gz,1
AAVS1-1653+1715_A1582b_B1640a,AAVS1-1653+1715_A1582b_B1640a,SRR17170440.fastq.gz,1
AAVS1-1653+1715_A1582b_B1640b,AAVS1-1653+1715_A1582b_B1640b,SRR17170439.fastq.gz,1
AAVS1-1653+1715_A1582b_B1640c,AAVS1-1653+1715_A1582b_B1640c,SRR17170438.fastq.gz,1
AAVS1-1653+1715_A1582b_B1676a,AAVS1-1653+1715_A1582b_B1676a,SRR17170437.fastq.gz,1
AAVS1-1653+1715_A1582b_B1676b,AAVS1-1653+1715_A1582b_B1676b,SRR17170436.fastq.gz,1
AAVS1-1653+1715_A1582b_B1676c,AAVS1-1653+1715_A1582b_B1676c,SRR17170434.fastq.gz,1
AAVS1-1653+1715_A1582b_B1701a,AAVS1-1653+1715_A1582b_B1701a,SRR17170433.fastq.gz,1
AAVS1-1653+1715_A1582b_B1701b,AAVS1-1653+1715_A1582b_B1701b,SRR17170432.fastq.gz,1
AAVS1-1653+1715_A1582b_B1701c,AAVS1-1653+1715_A1582b_B1701c,SRR17170431.fastq.gz,1
AAVS1-1653+1715_A1582b_B1705a,AAVS1-1653+1715_A1582b_B1705a,SRR17170430.fastq.gz,1
AAVS1-1653+1715_A1582b_B1705b,AAVS1-1653+1715_A1582b_B1705b,SRR17170429.fastq.gz,1
