sample_name,group,R1,replicate
AAVS1-1707+1710_A3835b_B3903a,AAVS1-1707+1710_A3835b_B3903a,SRR17170303.fastq.gz,1
AAVS1-1707+1710_A3835b_B3903b,AAVS1-1707+1710_A3835b_B3903b,SRR17170302.fastq.gz,1
AAVS1-1707+1710_A3835b_B3903c,AAVS1-1707+1710_A3835b_B3903c,SRR17170301.fastq.gz,1
AAVS1-1707+1710_A3835b_B3930a,AAVS1-1707+1710_A3835b_B3930a,SRR17170300.fastq.gz,1
AAVS1-1707+1710_A3835b_B3930b,AAVS1-1707+1710_A3835b_B3930b,SRR17170299.fastq.gz,1
AAVS1-1707+1710_A3835b_B3930c,AAVS1-1707+1710_A3835b_B3930c,SRR17170298.fastq.gz,1
AAVS1-1707+1710_A3835c_B3903a,AAVS1-1707+1710_A3835c_B3903a,SRR17170297.fastq.gz,1
AAVS1-1707+1710_A3835c_B3903b,AAVS1-1707+1710_A3835c_B3903b,SRR17170296.fastq.gz,1
AAVS1-1707+1710_A3835c_B3903c,AAVS1-1707+1710_A3835c_B3903c,SRR17170295.fastq.gz,1
AAVS1-1707+1710_A3835c_B3930a,AAVS1-1707+1710_A3835c_B3930a,SRR17170293.fastq.gz,1
AAVS1-1707+1710_A3835c_B3930b,AAVS1-1707+1710_A3835c_B3930b,SRR17170292.fastq.gz,1
AAVS1-1707+1710_A3835c_B3930c,AAVS1-1707+1710_A3835c_B3930c,SRR17170291.fastq.gz,1
AAVS1-1717+1713_A1077a_B1154a,AAVS1-1717+1713_A1077a_B1154a,SRR17170288.fastq.gz,1
AAVS1-1717+1713_A1077a_B1154b,AAVS1-1717+1713_A1077a_B1154b,SRR17170277.fastq.gz,1
AAVS1-1717+1713_A1077a_B1154c,AAVS1-1717+1713_A1077a_B1154c,SRR17170374.fastq.gz,1
AAVS1-1717+1713_A1077b_B1154a,AAVS1-1717+1713_A1077b_B1154a,SRR17170363.fastq.gz,1
AAVS1-1717+1713_A1077b_B1154b,AAVS1-1717+1713_A1077b_B1154b,SRR17170352.fastq.gz,1
AAVS1-1717+1713_A1077b_B1154c,AAVS1-1717+1713_A1077b_B1154c,SRR17170341.fastq.gz,1
AAVS1-1717+1713_A1077c_B1154a,AAVS1-1717+1713_A1077c_B1154a,SRR17170186.fastq.gz,1
AAVS1-1717+1713_A1077c_B1154b,AAVS1-1717+1713_A1077c_B1154b,SRR17170446.fastq.gz,1
AAVS1-1717+1713_A1077c_B1154c,AAVS1-1717+1713_A1077c_B1154c,SRR17170435.fastq.gz,1
AAVS1-1717+1713_A1098a_B1154a,AAVS1-1717+1713_A1098a_B1154a,SRR17170424.fastq.gz,1
AAVS1-1717+1713_A1098a_B1154b,AAVS1-1717+1713_A1098a_B1154b,SRR17170413.fastq.gz,1
AAVS1-1717+1713_A1098a_B1154c,AAVS1-1717+1713_A1098a_B1154c,SRR17170330.fastq.gz,1
AAVS1-1717+1713_A1098b_B1154a,AAVS1-1717+1713_A1098b_B1154a,SRR17170319.fastq.gz,1
AAVS1-1717+1713_A1098b_B1154b,AAVS1-1717+1713_A1098b_B1154b,SRR17170308.fastq.gz,1
AAVS1-1717+1713_A1098b_B1154c,AAVS1-1717+1713_A1098b_B1154c,SRR17170225.fastq.gz,1
AAVS1-1717+1713_A1098c_B1154a,AAVS1-1717+1713_A1098c_B1154a,SRR17170214.fastq.gz,1
AAVS1-1717+1713_A1098c_B1154b,AAVS1-1717+1713_A1098c_B1154b,SRR17170203.fastq.gz,1
AAVS1-1717+1713_A1098c_B1154c,AAVS1-1717+1713_A1098c_B1154c,SRR17170407.fastq.gz,1
